OID,InstanceOperations,Creator,CreatedDateTime,LastModifiedDateTime,EditorLayout,OwningOrganization,LastModifiedBy,LastAccessedBy,SubmitDate,AttachmentCount,OwningTeam,AllInSequenceMustApprove,ApprovalPhaseName,Approved,CurrentApprovalSequence,CurrentState,VIP,ClosedDateTime,Status,Workflow,BusinessHoursToApply,Sentiment,ActiveTaskOrder,EmailThreadID,EmailToHeader,EmailCcRecipients,EmailToRecipients,InboundEmailAlias,ItemSentiment,ItemSentimentDiff,SentimentTrend,LastSentimentCalcTime,SuggestionConfidence,EstimatedEffort,ExternalItemID,ExternalItemUrl,ExternalItemIDWithPrefix,ExternalProjectRefID,ExternalToolRefID,ExternalToolType,IsFulfillmentTicket,LastApprovalSequence,ModifiedApprovalPhases,IsInBusinessTime,SLADeadline,SLAHiddenStage,SLAExceeded,SLA,SLAStage,DueDate,ItemID,AssignedTo,Requester,Summary,BusinessTimeToAccept,BusinessTimeToResolve,ItemOwner,ImpactedResourcesPIT,ImpactedUsersAndGroupsPIT,ImpactedBusinessServicesPIT,ParentServiceItem,TimeSpent,CloseType,CompletedDate,Cost,Department,DepartmentNamePIT,IncidentRequestType,IncidentRequestTypeFullPathPIT,Impact,Level,Origin,Resolution,Message,EmailPIT,PhonePIT,LocationPIT,LocationNamePIT,TotalTime,Urgency,Priority,StartedDateTime,ActualStartDate,ActualCompleteDate,ActualDuration,ActualEffort,LaborCost,ResourceCost,SLAExceededPrediction,CallerNumber,CallerName,CallTime,OptimisticLockField,GCRecord,Notes,Description,TimeFromSubmitToClose
1,18446744073709551615,1,2019-09-26 20:22:42,2019-09-26 20:26:15,,,,,2018-12-08 01:00:24,0,,1,,0,0,In-Progress,0,,In-Progress,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-10-22 19:00:00,IR-0000001,59,77,Email is down,7598700.0,0.0,,Email Services,,EMAIL SERVICES,,0.0,,,0.0000,5,Finance,2,1 - Failure:Communications:E-mail,1,1,1,,,gjackson@xyz.com,(312) 453-8838,1,North America,0.0,1,1,2018-12-04 18:42:05,,,0.0,0.0,0.0000,0.0000,0,,,,7,,,,
2,18446744073709551615,1,2019-09-26 20:22:42,2019-09-26 20:26:16,,,,,2018-12-08 01:05:24,0,,1,,0,0,In-Progress,0,,In-Progress,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-10-22 19:00:00,IR-0000002,59,1,Cannot connect blackberry device,5000.0,10000.0,,,,,,0.0,,,0.0000,6,Marketing,8,2 - Service Request:Communications,2,2,2,,,ab@y.com,111-111-1111,1,North America,0.0,1,2,2018-12-04 18:47:08,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,
3,18446744073709551615,1,2019-09-26 20:22:42,2019-09-26 20:26:16,,,,,2018-12-08 01:30:24,0,,1,,0,0,In-Progress,0,,In-Progress,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-10-22 19:00:00,IR-0000003,59,79,Fax machine low on toner,7598700.0,0.0,,,,,,0.0,,,0.0000,2,Marketing,3,4 - Event:Warning,2,3,1,,,pbenzer@acme.org,303-234-3434,13,Europe,0.0,2,2,2018-12-04 18:48:39,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,
4,18446744073709551615,1,2019-09-26 20:22:42,2019-09-26 20:26:16,,,,,2018-12-08 02:00:24,0,,1,,0,0,Closed,0,,Closed,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-12-08 01:40:39,IR-0000004,77,77,Laptop will not boot,3200.0,1.12302E7,,,,,,0.0,1,2018-12-09 05:00:00,40.0000,5,Finance,11,1 - Failure:Hardware,2,2,2,"Inspected the laptop and found that the battery was not fully plugged in.  After snapping it in firmly, it booted.",,gjackson@xyz.com,(312) 453-8838,1,North America,600.0,1,1,2018-12-08 01:40:39,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,1620
5,18446744073709551615,1,2019-09-26 20:22:42,2019-09-26 20:26:16,,,,,2018-12-08 02:05:47,0,,1,,0,0,Pending Close,0,,Pending Close,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-12-10 02:02:59,IR-0000005,77,79,Customer reports losing network connectivity,2344.0,5432.0,60,,,,,0.0,1,2018-12-10 18:30:00,40.0000,2,Marketing,13,1 - Failure:Network:Cannot Connect to LAN/WAN,2,2,2,Visited the users desk and found the network cable connector was faulty.  Replaced the patch cable and discarded the broken one.,,pbenzer@acme.org,303-234-3434,13,Europe,790.0,2,2,2018-12-08 02:02:59,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,3865
6,18446744073709551615,1,2019-09-26 20:22:42,2019-09-26 20:26:16,,,,,2018-12-08 02:12:53,0,,1,,0,0,Closed,0,,Closed,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-12-08 02:10:10,IR-0000006,77,69,User having trouble with Firefox browser,8531.0,1.12302E7,,,,,,0.0,2,2018-12-10 05:00:00,25.0000,4,Human Resources,18,2 - Service Request:Help Requester,3,2,2,"      Ttemporarily disabling IMAP SSL will can help:

      Disable SSL in Netscape 7.x or Mozilla:

      Ensure that you are in your e-mail client and select Mail and Newsgroups Account Settings under the Edit menu.
      Click on Server Settings under your Princeton IMAP account.
      Uncheck the box for Use Secure Connection (SSL). open Netscape, click on the Edit menu and select Preferences. In the Preferences window, double-click on Mail & Newsgroups and select Mail Servers from the list that drops down. Highlight imap.Princeton.edu and click the Edit button.
      Click on the IMAP tab and uncheck the box for Use Secure Connection (SSL).
      Click OK and try loading your Inbox again by clicking on the Get Msgs icon. If this does not load your Inbox, proceed with the additional troubleshooting steps below.
    ",,tbryant@acme.com,555-1212,3,North America:USA:Denver,1500.0,3,3,2018-12-08 02:10:10,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,3048
7,18446744073709551615,1,2019-09-26 20:22:42,2019-09-26 20:26:16,,,,,2018-12-08 02:18:45,0,,1,,0,0,In-Progress,0,,In-Progress,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-12-08 02:17:05,IR-0000007,79,66,Error when opening e-mail inbox,5422.0,0.0,57,Email Services,,EMAIL SERVICES,,0.0,,,0.0000,7,IT,2,1 - Failure:Communications:E-mail,2,2,1,,,fthomson@acme.com,813-555-1234,1,North America,874.0,2,2,2018-12-08 02:17:05,,,0.0,0.0,0.0000,0.0000,0,,,,7,,,,
8,18446744073709551615,1,2019-09-26 20:22:43,2019-09-26 20:26:16,,,,,2018-12-08 02:24:54,0,,1,,0,0,Pending Resolution,0,,Pending Resolution,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-12-08 02:22:47,IR-0000008,79,77,Cannot delete e-mail from e-mail in-box,7598700.0,0.0,57,Email Services,,EMAIL SERVICES,,0.0,,,0.0000,5,Finance,7,2 - Service Request:Training,2,2,2,,,gjackson@xyz.com,(312) 453-8838,1,North America,1983.0,2,2,2018-12-08 02:22:47,,,0.0,0.0,0.0000,0.0000,0,,,,7,,,,
9,18446744073709551615,1,2019-09-26 20:22:43,2019-09-26 20:26:16,,,,,2018-12-08 02:28:48,0,,1,,0,0,Pending Resolution,0,,Pending Resolution,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-12-08 02:25:54,IR-0000009,79,65,Financial system not working in the version of browser the user has installed,5434.0,13453.0,60,Financial Services,,FINANCIAL SERVICES,,0.0,2,,0.0000,1,IT,10,3 - Work Request:Advice & Guidance,2,2,1,Instructed user to use terminal services to connect to a Shared Term to use the application until it is updated to support the newer browser.,,gsmith@acme.org,234-432-2344,1,North America,600.0,2,3,2018-12-08 02:25:54,,,0.0,0.0,0.0000,0.0000,0,,,,7,,,,
10,18446744073709551615,1,2019-09-26 20:22:43,2019-09-26 20:26:17,,,,,2018-12-08 02:33:17,0,,1,,0,0,Pending Close,0,,Pending Close,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-12-08 02:30:06,IR-0000010,57,64,Monitor flickers -- looking for newer driver,7323.0,7897.0,61,,,,,0.0,2,,0.0000,1,IT,17,1 - Failure:Hardware:Desktop Peripheral,3,1,1,Advised the customer per the linked KB solution (see the Related Items).,,elane@acme.com,555-1212,3,North America,19.0,3,3,2018-12-08 02:30:06,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,
